skill,course_link
python,https://youtu.be/ERCMXc8x7mc?si=soevjkT9uQ4Aeaiv
sql,https://youtu.be/hlGoQC332VM?si=sbx9DFsKmJ7ePxFq
machine learning,https://youtu.be/2oGsCHlfBUg?si=LxX4o3IQ4Z-HggO2
html,https://youtu.be/HcOc7P5BMi4?si=DqEa39_Bkxv7_osf
css,https://youtu.be/ESnrn1kAD4E?si=dvH40iUi3FF12fPF
javascript,https://youtu.be/VlPiVmYuoqw?si=AgFHl6eyqXB-5JW5
react,https://youtu.be/RGKi6LSPDLU?si=2l7drOWyD4ItJphd
tableau,https://youtu.be/GbszEsOY3wo?si=yjWdHSuG2WV4thnw
excel,https://youtu.be/OX-iyb-21tk?si=dYtBCa0nrLqSFrXM
deep learning,https://youtu.be/d2kxUVwWWwU?si=cliRzgaj85CtSpOP
